user_id,password_length,used_special_characters,keyboard_language,login_attempts,was_capslock_on,session_ip,browser_tab_count,challenge_sequence,timezone,typing_speed_wpm,ip_reputation_score,leak_match_flag,risk_label,uses_special_char,capslock_on_flag,short_password_flag,many_login_attempts_flag,fast_typing_flag,timezone_offset_hours,risk_score_heuristic,security_outcome,target
3c067e4e-c15e-44db-b1b1-987a8b68b8f4,13,no,DE,1,no,88.117.100.104,11,3-6-5-2-8,UTC+11,57,0.03,0,0,0,0,0,0,0,11.0,1,normal,0
cc76e3d2-809a-4c4a-afb7-ed0772eb61f9,10,yes,US,1,yes,55.244.64.249,12,5-3-7-5-9,UTC-10,64,0.63,0,1,1,1,0,0,0,-10.0,1,confirmed compromise,1
4b63c45f-5771-4640-8fab-269951005144,9,no,ES,1,no,206.81.164.50,3,4-2-6-6-4,UTC-5,54,0.25,0,0,0,0,0,0,0,-5.0,1,normal,0
0d659ac1-7cc5-4652-91b7-70ee5c097fe9,15,yes,US,2,no,252.188.124.237,9,1-9-7-9-8,UTC-4,106,0.03,0,0,1,0,0,0,1,-4.0,1,normal,0
45fbd03e-af66-4b2f-a099-57891ba9a5e1,15,no,UK,1,no,12.162.33.48,8,7-8-5-3-8,UTC+10,73,0.07,0,0,0,0,0,0,0,10.0,1,normal,0
cc3bd92d-1aab-4fa7-a538-34bafd8dd17a,11,yes,FR,1,no,253.96.132.222,4,7-7-4-7-3,UTC-8,61,0.23,0,0,1,0,0,0,0,-8.0,0,normal,0
6225072f-f4bf-401d-8432-a1cc83603229,13,yes,FR,1,no,231.190.225.129,9,9-4-9-3-7,UTC+12,66,0.04,0,0,1,0,0,0,0,12.0,0,normal,0
b633aedd-830d-4980-881d-929fb4866b6b,11,yes,RU,1,no,101.113.184.81,1,2-2-6-7-5,UTC+4,59,0.16,0,0,1,0,0,0,0,4.0,0,normal,0
8173b51c-912a-4c27-a2ec-65a4e0197641,19,yes,ES,1,no,69.116.98.198,8,1-9-6-3-4,UTC+9,21,0.02,0,0,1,0,0,0,0,9.0,0,normal,0
91d958b8-11d7-49c9-9d86-d4bcb2d496af,14,no,RU,2,no,159.222.42.99,7,9-4-1-2-1,UTC-6,44,0.75,0,1,0,0,0,0,0,-6.0,1,confirmed compromise,1
cc01bfff-1983-46b7-a83b-feb51763a274,7,no,CN,1,no,75.113.200.164,4,8-4-3-9-3,UTC-7,33,0.03,1,1,0,0,1,0,0,-7.0,3,confirmed compromise,1
ca8efd69-2bb1-47ad-9598-21a1e40ff8f3,4,yes,JP,1,no,128.33.176.204,1,6-7-6-6-6,UTC+6,79,0.17,0,0,1,0,1,0,0,6.0,2,normal,0
d761a307-b57e-4633-97f5-d6b3c57a2fcd,22,yes,DE,1,no,17.172.220.158,1,5-6-3-9-5,UTC+1,61,0.06,0,0,1,0,0,0,0,1.0,0,normal,0
c77ca46f-59c7-48bc-af28-25a0587201e2,15,yes,RU,1,no,194.127.155.234,7,1-8-1-9-6,UTC-11,72,0.05,0,0,1,0,0,0,0,-11.0,0,normal,0
7b95de48-e241-4b1f-8284-3931a06f61c1,14,no,US,14,no,51.153.186.63,30,6-1-4-6-6,UTC+9,14,0.02,0,0,0,0,0,1,0,9.0,4,normal,0
662eb26a-c73c-4113-b4a0-15f7561bde00,11,no,RU,1,no,144.13.114.124,4,3-1-8-3-7,UTC-3,70,0.02,0,0,0,0,0,0,0,-3.0,1,normal,0
f2e8e522-d13f-4299-8d9e-bd7a75a22d4f,8,no,ES,1,no,231.192.191.69,13,7-3-3-5-6,UTC+9,34,1.0,0,1,0,0,0,0,0,9.0,1,confirmed compromise,1
61b8d0e1-418f-4c64-860a-5c942a53557b,13,yes,UK,2,no,222.101.23.250,14,6-5-4-2-4,UTC-3,75,0.07,0,0,1,0,0,0,0,-3.0,0,normal,0
8555384c-0a27-481b-95ea-d8dae19f40c4,12,yes,ES,2,no,124.33.161.189,3,5-3-1-1-8,UTC+6,72,0.02,0,0,1,0,0,0,0,6.0,0,normal,0
165c2849-3805-45fe-9f18-c71b0b988f07,10,yes,UK,1,no,196.58.245.114,7,8-4-9-5-9,UTC+0,64,0.03,0,0,1,0,0,0,0,0.0,0,normal,0
c8d72692-f583-4a96-bab3-9fbff7c3f084,18,yes,RU,2,no,99.105.30.17,9,4-9-6-3-1,UTC+4,91,0.78,0,1,1,0,0,0,0,4.0,0,confirmed compromise,1
3ca8ec66-64db-4ea8-b8a7-4f6ef4be8128,12,yes,UK,1,no,180.123.213.228,9,7-9-7-5-7,UTC+8,65,0.01,1,1,1,0,0,0,0,8.0,0,confirmed compromise,1
60efe480-9788-4c68-9297-7e38f7bea7e6,18,no,UK,1,no,27.122.194.5,2,6-3-8-1-6,UTC-8,51,0.22,0,0,0,0,0,0,0,-8.0,1,normal,0
e1494564-888c-43d0-8967-2fa9340f8324,9,no,FR,1,no,195.173.141.242,14,8-9-7-1-3,UTC+7,55,0.36,0,0,0,0,0,0,0,7.0,1,normal,0
3f0998fb-86dd-4011-a838-e91859a50c45,8,no,JP,1,no,20.185.146.47,3,1-1-5-6-6,UTC-4,56,0.11,1,1,0,0,0,0,0,-4.0,1,confirmed compromise,1
48e1dc2f-2d82-463d-88f7-3d5a5d317080,11,yes,DE,1,no,60.178.28.220,10,9-4-6-1-9,UTC-8,47,0.19,0,0,1,0,0,0,0,-8.0,0,normal,0
bfdbc2a4-78f7-4232-b66c-c4c67ff0fe04,13,no,RU,2,no,119.248.33.118,5,2-1-5-9-6,UTC-12,62,0.06,0,0,0,0,0,0,0,-12.0,1,normal,0
1058af9c-11e7-495a-86ed-eed7c677337e,12,yes,DE,1,no,202.202.83.145,5,9-1-3-4-1,UTC+8,50,0.12,0,0,1,0,0,0,0,8.0,0,normal,0
e7d9bcc8-2cb6-4b07-8ca4-4ea36a616234,10,no,CN,2,no,207.229.85.142,7,3-7-6-2-6,UTC-11,48,0.05,0,0,0,0,0,0,0,-11.0,1,normal,0
1ade133e-ba3b-4303-80da-f8290b11e0b9,13,yes,ES,1,no,29.132.138.184,5,1-4-8-5-2,UTC+4,94,0.04,0,0,1,0,0,0,0,4.0,0,normal,0
d94ffcc0-55f6-4204-8e9a-ca55acfd7583,6,yes,RU,1,no,96.195.155.93,3,3-3-5-5-2,UTC+5,49,0.03,0,0,1,0,1,0,0,5.0,2,normal,0
5211728f-910d-4d25-a2c4-0f9371439875,6,yes,FR,1,no,214.239.56.94,9,1-4-1-8-1,UTC-2,56,0.26,0,0,1,0,1,0,0,-2.0,2,normal,0
e73f9943-b1b8-4d14-90d2-89db8242a243,12,yes,UK,1,no,107.239.252.237,14,6-3-3-9-7,UTC+5,71,0.0,0,0,1,0,0,0,0,5.0,0,normal,0
1a9befd0-5493-4fe5-beea-f0cc876bf3e4,8,no,JP,1,no,111.228.111.214,2,8-8-1-3-9,UTC-11,52,0.28,0,0,0,0,0,0,0,-11.0,1,normal,0
cc1f3031-a79e-4a97-b361-959c954fc5c4,14,no,DE,8,yes,152.55.137.247,50,3-8-5-4-8,UTC-10,29,0.06,0,0,0,1,0,1,0,-10.0,5,normal,0
58268766-22d4-4245-b608-58f1d2d24714,15,no,ES,1,no,113.140.47.1,4,6-5-4-3-1,UTC+1,41,0.05,0,0,0,0,0,0,0,1.0,1,normal,0
9a8ac132-7fa2-4a4f-90b5-c8d431147cce,14,yes,ES,1,no,38.247.163.94,8,5-2-5-8-9,UTC+4,39,0.04,0,0,1,0,0,0,0,4.0,0,normal,0
c7e84e1d-f0fb-450e-a358-442056ab98ae,13,no,DE,1,no,62.132.89.237,10,9-2-8-8-7,UTC-3,70,0.15,0,0,0,0,0,0,0,-3.0,1,normal,0
db69874a-4d6b-4a1d-92fb-020d66942c37,19,yes,ES,1,no,39.179.198.134,3,7-3-8-4-1,UTC-10,28,0.21,0,0,1,0,0,0,0,-10.0,0,normal,0
533d9d7e-453f-4022-8d0e-0ca79cd544a5,13,no,FR,1,no,159.47.228.109,13,4-8-8-5-4,UTC+11,51,0.11,0,0,0,0,0,0,0,11.0,1,normal,0
aa8c5189-da34-4af2-98e8-56bd1302659a,5,yes,CN,1,no,47.90.46.107,7,8-2-9-1-8,UTC-1,65,0.14,0,0,1,0,1,0,0,-1.0,2,normal,0
e5238557-09bb-47e1-b0e8-ba32a441e953,14,yes,JP,1,no,182.215.57.1,4,7-3-8-5-9,UTC+9,47,0.03,0,0,1,0,0,0,0,9.0,0,normal,0
c988afe3-a066-4b8e-a2a1-3a78bc7c3cf6,11,no,FR,1,no,128.171.187.108,1,6-8-9-7-4,UTC+6,41,0.15,0,0,0,0,0,0,0,6.0,1,normal,0
