user_id,password_length,used_special_characters,keyboard_language,login_attempts,was_capslock_on,session_ip,browser_tab_count,challenge_sequence,timezone,typing_speed_wpm,risk_label,uses_special_char,capslock_on_flag,short_password_flag,many_login_attempts_flag,fast_typing_flag,timezone_offset_hours,risk_score_heuristic
5b34d49f-4d88-455e-87b8-7e6c7c6b44a0,15,no,JP,2,yes,167.179.248.128,1,1-8-1-7-4,UTC+3,56,0,0,1,0,0,0,3.0,3.0
aba9f041-3171-46ef-9705-313de47c41c4,10,no,FR,3,yes,211.212.9.57,12,5-1-4-3-6,UTC+1,65,0,0,1,0,0,0,1.0,3.0
a2ca182e-c5ca-4c89-aad8-b882a0a9d6b7,16,yes,CN,5,no,216.133.202.213,7,7-9-7-4-6,UTC+1,99,0,1,0,0,1,0,1.0,2.0
b52c3050-7ec6-41eb-8e94-1641762d29fa,19,yes,DE,10,yes,193.217.235.100,8,7-2-4-8-1,UTC-7,91,0,1,1,0,1,0,-7.0,3.0
cf2affe6-bebf-4389-ba22-91b8f98daac8,19,no,JP,4,no,57.235.89.128,9,8-7-9-5-6,UTC+0,98,0,0,0,0,0,0,0.0,2.0
1d72573f-02f3-4b17-9ebf-5016eed47e35,15,yes,FR,4,no,196.46.29.43,13,5-7-2-8-4,UTC-7,37,0,1,0,0,0,0,-7.0,0.0
3b39e064-07b6-4a8a-9e06-5e7a6497a9d2,20,yes,EN,2,yes,193.193.42.121,15,5-5-4-2-3,UTC+8,24,1,1,1,0,0,0,8.0,1.0
fa2d02cb-f1c9-4f3a-8b42-586849c3c7d9,16,yes,DE,1,no,131.14.85.175,4,4-2-5-2-7,UTC-5,111,0,1,0,0,0,0,-5.0,0.0
53b2fe4e-640e-421f-8956-cee9d1e5064b,7,yes,FR,10,yes,145.101.58.18,2,9-5-7-3-8,UTC+1,34,1,1,1,1,1,0,1.0,5.0
3d8eed25-7432-4a86-812f-57d69b0450fb,6,no,EN,6,yes,179.8.63.10,4,4-8-8-3-5,UTC-7,76,1,0,1,1,1,0,-7.0,7.0
af82eaf5-cbcf-496c-aecd-ca17873eedbe,17,yes,ES,8,no,105.170.98.5,11,9-7-1-4-1,UTC+3,52,1,1,0,0,1,0,3.0,2.0
7f25d0e4-d1d4-4dea-9061-0608279fe5a5,14,no,ES,8,no,197.230.2.13,1,1-9-3-8-2,UTC-7,68,1,0,0,0,1,0,-7.0,4.0
494dc1c8-a2d0-4f08-b872-385f94677387,13,no,JP,4,yes,169.231.125.83,13,4-1-9-4-8,UTC+1,93,0,0,1,0,0,0,1.0,3.0
f57c2331-86f6-43d8-91e2-ad4aca1393e0,13,no,DE,6,yes,38.95.118.106,4,8-6-8-6-9,UTC-5,120,1,0,1,0,1,0,-5.0,5.0
64af9aa2-0252-48e5-a052-a8f1d48a1bfa,16,yes,FR,4,yes,203.22.12.81,4,9-7-1-9-1,UTC+1,78,0,1,1,0,0,0,1.0,1.0
384c7ad4-d418-4bd6-bb17-5bafa7b8c08d,17,yes,DE,4,yes,174.17.106.104,9,5-4-3-6-2,UTC-7,60,0,1,1,0,0,0,-7.0,1.0
d0a220a7-aa8c-4ea1-a89f-b7387b8f66dc,10,yes,FR,4,yes,207.38.171.27,6,6-4-4-9-2,UTC-5,90,0,1,1,0,0,0,-5.0,1.0
447b2d0c-ce13-426b-aec9-d70f6027b22c,9,no,EN,5,yes,218.150.104.132,9,4-4-4-9-7,UTC-7,120,1,0,1,1,1,0,-7.0,7.0
