user_id,password_length,used_special_characters,keyboard_language,login_attempts,was_capslock_on,session_ip,browser_tab_count,challenge_sequence,timezone,typing_speed_wpm,risk_label,uses_special_char,capslock_on_flag,short_password_flag,many_login_attempts_flag,fast_typing_flag,timezone_offset_hours,risk_score_heuristic,security_outcome,target
b10380b3-3dba-4c61-b5f3-2dea6e2d205a,7,yes,FR,2,no,36.69.137.170,3,5-2-1-5-7,UTC+3,92,0,1,0,1,0,0,3.0,2.0,normal,0
de4dd3f1-b1b6-4b57-8385-4e830715a76f,11,no,FR,5,yes,219.145.14.3,7,7-6-4-8-1,UTC-5,120,1,0,1,0,1,0,-5.0,5.0,confirmed compromise,1
82e45eb5-af7a-4a6e-8514-6f356bf8e6a1,8,yes,DE,3,no,158.79.116.217,3,6-9-8-8-4,UTC-5,86,0,1,0,1,0,0,-5.0,2.0,normal,0
98adcc35-b3ce-4ce0-ae2f-421f4f7b15ea,11,yes,ES,4,yes,64.141.127.21,9,5-8-6-8-5,UTC+3,100,0,1,1,0,0,0,3.0,1.0,normal,0
ea3ad2b0-01c8-408c-8ae9-22570f35d8f7,19,no,EN,9,yes,213.247.22.141,4,2-6-6-4-1,UTC+1,93,1,0,1,0,1,0,1.0,5.0,suspected abuse,1
68c780c8-f835-4f79-bd31-f5a8700e7798,13,yes,EN,10,yes,135.203.130.105,2,1-3-1-7-6,UTC+3,68,0,1,1,0,1,0,3.0,3.0,normal,0
d33ef692-6538-46c0-9024-baec61658cb4,13,yes,DE,10,no,156.207.137.35,13,7-7-6-2-4,UTC+3,62,0,1,0,0,1,0,3.0,2.0,normal,0
047ced10-afaa-4611-a30e-0484f8eba577,15,yes,EN,9,yes,170.197.237.98,1,1-3-8-7-3,UTC+0,22,0,1,1,0,1,0,0.0,3.0,normal,0
fd23d147-a5a7-4d8b-9971-bc2ac8c9dba4,14,no,FR,1,no,147.228.144.136,4,3-4-7-2-3,UTC+3,118,0,0,0,0,0,0,3.0,2.0,normal,0
29f35842-297a-4469-af55-840a91379fd3,10,yes,FR,2,no,191.219.249.230,12,6-2-4-4-2,UTC+1,101,0,1,0,0,0,0,1.0,0.0,normal,0
cf947aef-a8b3-40f9-aabb-d779e830af65,18,no,EN,1,no,175.142.98.240,4,5-9-9-1-2,UTC+3,76,0,0,0,0,0,0,3.0,2.0,normal,0
f497ebe3-4098-42ce-b3f2-0dac36227e02,16,yes,EN,4,no,86.168.127.83,6,9-3-1-4-4,UTC-5,91,0,1,0,0,0,0,-5.0,0.0,normal,0
8b2076d0-da56-417f-94b8-d11ff0daa266,9,no,EN,7,yes,110.66.140.147,9,5-6-8-6-3,UTC+8,54,1,0,1,1,1,0,8.0,7.0,confirmed compromise,1
d64454fb-948c-4eb7-b7dc-649232dc3b74,9,yes,DE,7,no,149.160.30.210,11,8-4-6-6-7,UTC-5,82,1,1,0,1,1,0,-5.0,4.0,suspected abuse,1
db6e7b70-6974-4f0a-8a6b-95642af11764,18,no,FR,8,no,221.205.8.98,3,5-1-8-9-7,UTC-5,93,1,0,0,0,1,0,-5.0,4.0,confirmed compromise,1
1ab31436-283c-4830-ab2d-a66818acac67,15,yes,JP,9,no,195.52.5.196,13,9-4-4-3-7,UTC+1,85,0,1,0,0,1,0,1.0,2.0,normal,0
c1dbc00d-1192-473a-9e78-8bab42617aca,15,yes,CN,4,yes,218.97.6.81,9,2-7-9-5-8,UTC-5,103,0,1,1,0,0,0,-5.0,1.0,normal,0
2af36dbb-c314-4dd9-828d-8e774e8a1db5,7,no,JP,7,no,205.200.38.164,14,6-1-6-6-6,UTC+0,94,1,0,0,1,1,0,0.0,6.0,normal,0
1af4614b-362b-480b-b75a-a488533b2790,10,yes,DE,5,no,13.122.183.187,2,8-9-4-9-1,UTC+3,66,0,1,0,0,1,0,3.0,2.0,suspected abuse,1
965ae9a0-80c1-4a4b-9492-114cfbec2e38,19,yes,EN,8,no,65.34.209.173,11,2-3-2-2-1,UTC+0,41,0,1,0,0,1,0,0.0,2.0,normal,0
9b41852e-6b14-482a-8cc3-4dc79aee5778,16,yes,CN,8,no,198.126.83.127,1,3-5-3-6-7,UTC+1,81,0,1,0,0,1,0,1.0,2.0,normal,0
55a8dd13-3fb3-4888-9203-8584c3a1c3ca,8,yes,DE,6,yes,171.165.153.212,13,1-6-9-2-2,UTC+3,39,1,1,1,1,1,0,3.0,5.0,confirmed compromise,1
1bcd4900-7790-4cb4-938d-b20c263da8a2,14,yes,CN,2,no,115.159.189.12,2,3-8-3-1-3,UTC-7,72,0,1,0,0,0,0,-7.0,0.0,normal,0
1f01deb0-e900-4c03-9cc3-3d1133e41e62,7,no,DE,3,yes,173.159.28.252,3,1-6-3-9-9,UTC+3,32,1,0,1,1,0,0,3.0,5.0,normal,0
c723cc04-17e5-4684-89d8-a010ffccc3a9,11,no,FR,9,no,153.55.69.213,7,1-3-6-7-4,UTC+1,112,1,0,0,0,1,0,1.0,4.0,confirmed compromise,1
1faf7e08-4bab-4c09-8cb2-543fae4bad09,13,yes,DE,8,no,221.233.6.23,12,7-5-5-4-3,UTC+1,88,0,1,0,0,1,0,1.0,2.0,normal,0
3d5b4788-7bac-4784-8a5b-b212e1e39546,16,yes,ES,9,no,201.33.128.249,12,2-6-9-4-3,UTC+3,88,0,1,0,0,1,0,3.0,2.0,normal,0
f76e8412-fb2b-47ce-93b8-fa563bc52df1,10,no,CN,6,yes,158.127.151.104,15,1-5-4-2-6,UTC-7,76,1,0,1,0,1,0,-7.0,5.0,confirmed compromise,1
1c5c15a7-6655-4b1d-8a3d-dee8d38a6bcd,17,no,FR,5,yes,155.0.235.241,5,7-8-8-1-6,UTC+1,78,1,0,1,0,1,0,1.0,5.0,confirmed compromise,1
1226bebe-d801-456a-ad9f-f158c7f73181,11,yes,CN,8,yes,147.9.149.199,1,7-3-4-6-4,UTC+1,69,0,1,1,0,1,0,1.0,3.0,normal,0
135ba6a5-d038-485b-9a17-1927e95b704c,15,yes,ES,1,yes,120.29.212.62,5,1-1-4-5-9,UTC-5,25,0,1,1,0,0,0,-5.0,1.0,normal,0
2c48f83a-e47e-4bfa-868b-64b4d33864a5,14,yes,FR,10,yes,172.253.195.127,15,1-1-3-6-1,UTC-7,60,0,1,1,0,1,0,-7.0,3.0,normal,0
e491fbf2-9647-4ac7-b900-13182e3d7387,12,yes,JP,2,yes,200.49.146.61,4,2-2-8-8-9,UTC-5,73,0,1,1,0,0,0,-5.0,1.0,normal,0
02744166-9de9-49e2-a379-21b7b43b83a1,12,yes,FR,9,no,202.194.254.32,13,3-3-6-5-9,UTC-7,89,0,1,0,0,1,0,-7.0,2.0,normal,0
71d76858-e62e-4c1d-b3c1-7013906bac4a,16,yes,DE,6,yes,39.91.5.212,3,5-8-5-8-4,UTC+8,101,0,1,1,0,1,0,8.0,3.0,normal,0
d04ad829-04b8-4e0a-87b6-3e1dca3ebd1a,13,no,ES,1,yes,196.188.21.196,2,4-5-3-5-5,UTC+3,114,0,0,1,0,0,0,3.0,3.0,normal,0
d2c870b8-221d-4d27-b4b0-21486225d312,15,yes,EN,10,yes,47.43.52.63,2,3-9-7-2-2,UTC+1,118,0,1,1,0,1,0,1.0,3.0,normal,0
4ede8956-819e-404b-bb07-99293cdea0e9,6,yes,EN,10,yes,195.221.111.229,3,1-5-5-9-5,UTC+1,23,1,1,1,1,1,0,1.0,5.0,confirmed compromise,1
4a7a4060-9a7f-4b9a-82a7-4cf59726fafd,15,no,EN,6,yes,176.240.156.111,10,9-9-1-7-9,UTC-7,108,1,0,1,0,1,0,-7.0,5.0,confirmed compromise,1
c2bb7dfb-4562-4ab6-a70b-c747c8f70ec4,6,yes,EN,10,yes,182.182.191.174,14,9-4-8-4-8,UTC-7,114,1,1,1,1,1,0,-7.0,5.0,confirmed compromise,1
bff0a9eb-f61a-40a2-8a2f-4d8cafe43f3a,17,yes,CN,4,yes,133.16.25.4,7,2-2-2-3-7,UTC+0,25,0,1,1,0,0,0,0.0,1.0,normal,0
d3552c3d-764f-4b8d-8a69-00fe4293955b,12,no,JP,9,yes,171.229.129.154,4,3-2-6-9-8,UTC-5,38,1,0,1,0,1,0,-5.0,5.0,suspected abuse,1
3dd60a6f-b33a-4916-9d2b-ff239b7a18c6,10,yes,DE,10,yes,14.143.190.230,13,4-2-5-4-3,UTC+3,97,0,1,1,0,1,0,3.0,3.0,normal,0
65c4faa0-2b02-4fbd-bc9e-ac8deda96822,17,yes,FR,1,yes,140.52.84.199,4,4-7-8-6-3,UTC-7,82,0,1,1,0,0,0,-7.0,1.0,suspected abuse,1
8a00312f-18d9-4532-beee-3d5a86768d88,11,yes,JP,9,yes,140.12.63.117,9,2-5-6-2-6,UTC+1,118,0,1,1,0,1,0,1.0,3.0,normal,0
